frame,t_s,tfl_c,tfl_roll_sp,tfl_pitch_sp,tfl_yaw_sp,pt_c,pt_roll_sp,pt_pitch_sp,pt_yaw_sp
62,0.19502275471698113,8.557515,0.070038974,0.047703147,-1.4943829,8.559122,0.069853425,0.047700614,-1.4948837
63,0.19816828301886794,8.282579,0.07897961,0.049363732,-1.4796977,8.284737,0.078834206,0.049337626,-1.4801809
64,0.20131381132075474,8.304189,0.117494434,0.04334289,-1.4689026,8.305918,0.11730397,0.043329686,-1.4693929
65,0.2044593396226415,8.422737,0.12699908,0.037195355,-1.4639041,8.424895,0.12678137,0.037190944,-1.4644071
66,0.2076048679245283,8.60386,0.11406192,0.030905575,-1.4648099,8.60547,0.113883674,0.030901104,-1.465314
67,0.21075039622641512,9.057222,0.09782693,0.029050589,-1.4681456,9.057033,0.09772584,0.029057592,-1.4686347
68,0.2138959245283019,9.059951,0.10280833,0.034353912,-1.4675767,9.060012,0.10261223,0.034403116,-1.4680957
69,0.2170414528301887,8.887719,0.10844532,0.034956515,-1.472352,8.887408,0.10827124,0.034982294,-1.4728497
70,0.2201869811320755,8.675699,0.10420102,0.03456694,-1.4750636,8.676064,0.10402712,0.034589678,-1.4755634
71,0.22333250943396227,8.776066,0.10274741,0.032798886,-1.4787991,8.776266,0.10262057,0.032793403,-1.4792851
72,0.22647803773584907,8.703537,0.10559332,0.033052355,-1.4785187,8.703766,0.10541853,0.03306243,-1.4790078
73,0.22962356603773587,8.806677,0.10300833,0.034292698,-1.4793639,8.805962,0.10285273,0.034306794,-1.4798764
74,0.23276909433962265,8.7478485,0.10806751,0.032763213,-1.4742231,8.747233,0.107871056,0.03278348,-1.4747344
75,0.23591462264150945,8.769534,0.10316414,0.033481985,-1.4719315,8.769452,0.10297948,0.033497304,-1.472427
76,0.23906015094339625,8.736799,0.098634064,0.03594646,-1.4755347,8.737882,0.098443985,0.035953015,-1.4760019
77,0.24220567924528302,8.70641,0.10148111,0.04127431,-1.4792838,8.708418,0.10129011,0.041252285,-1.4797574
78,0.24535120754716983,8.690063,0.11576557,0.04577005,-1.4764152,8.69179,0.11557189,0.04575017,-1.4769086
79,0.24849673584905663,8.747821,0.11717236,0.045779347,-1.4792709,8.748204,0.11697045,0.045788884,-1.4797598
80,0.25164226415094343,8.720403,0.113657445,0.039852053,-1.4760947,8.720398,0.11347246,0.039867133,-1.4765829
81,0.2547877924528302,8.630785,0.11243984,0.03936678,-1.4731908,8.631739,0.112286836,0.039367765,-1.4736758
82,0.257933320754717,8.5520525,0.11401737,0.03995654,-1.4721823,8.553414,0.1138576,0.039951712,-1.4726609
83,0.2610788490566038,8.714766,0.11733374,0.03338602,-1.4736013,8.715232,0.11714649,0.03343621,-1.4741086
84,0.2642243773584906,8.389935,0.12195644,0.038140714,-1.4696324,8.391664,0.12175384,0.038151234,-1.4701236
85,0.2673699056603774,8.403311,0.10201573,0.04407829,-1.4742274,8.404231,0.1018351,0.044089347,-1.4747084
86,0.2705154339622642,8.379666,0.085867226,0.04651457,-1.4883108,8.380222,0.08570269,0.04654628,-1.4888021
87,0.27366096226415093,8.124467,0.07451227,0.050091624,-1.4992888,8.124635,0.07442173,0.050101846,-1.4997743
88,0.27680649056603773,8.493898,0.06780857,0.04727295,-1.5139787,8.491495,0.0677484,0.04727477,-1.5144407
89,0.27995201886792453,8.738253,0.05202371,0.05112058,-1.5240574,8.735458,0.051977545,0.05111754,-1.5245196
90,0.28309754716981134,9.120538,0.049578816,0.043492883,-1.5345387,9.117148,0.049553603,0.043474197,-1.5349721
91,0.28624307547169814,9.173544,0.045348704,0.037969112,-1.5365982,9.170649,0.04530987,0.03794089,-1.5370413
92,0.28938860377358494,9.084113,0.045265704,0.03271532,-1.5394828,9.081072,0.04523295,0.032708198,-1.5399204
93,0.2925341320754717,8.866177,0.039677203,0.032811224,-1.5518005,8.862305,0.039654166,0.03280735,-1.5522467
94,0.2956796603773585,8.969157,0.019515991,0.028419644,-1.559454,8.963912,0.019550443,0.028420746,-1.5599047
95,0.2988251886792453,9.205522,0.017941356,0.028898776,-1.5657544,9.200385,0.017955631,0.028920174,-1.5662228
96,0.3019707169811321,8.747467,0.006223589,0.030186146,-1.5690212,8.742195,0.0062383413,0.03017655,-1.5694956
97,0.3051162452830189,8.734831,0.0013411343,0.03133273,-1.5676048,8.730931,0.0013347566,0.03133267,-1.5680894
98,0.3082617735849057,8.805588,0.0035150945,0.026636392,-1.573632,8.802398,0.0035263002,0.026652724,-1.5741192
99,0.31140730188679244,9.33272,0.01381892,0.0108428,-1.5838902,9.329725,0.013801396,0.010877311,-1.5843657
100,0.31455283018867924,9.306246,0.027732253,0.014252275,-1.589241,9.302778,0.02769965,0.01429677,-1.5897254
101,0.31769835849056605,9.383444,0.033818424,0.008695543,-1.5914388,9.37945,0.03378439,0.008727431,-1.5919238
102,0.32084388679245285,9.295759,0.030224502,0.001373738,-1.5922375,9.291524,0.03022936,0.0014090538,-1.5927147
103,0.32398941509433965,9.380287,0.030020833,-0.00056535006,-1.5897257,9.376252,0.030016154,-0.00053170323,-1.5902096
104,0.32713494339622645,9.0883875,0.034481943,0.012833148,-1.5870154,9.084334,0.034477293,0.012862146,-1.5874981
105,0.3302804716981132,8.983344,0.03693679,0.018015862,-1.5846848,8.980087,0.03689468,0.018053532,-1.5851747
106,0.333426,9.022285,0.032308698,0.01744923,-1.5828612,9.019325,0.03225857,0.017489374,-1.5833491
107,0.3365715283018868,9.055893,0.02932179,0.016182631,-1.5818837,9.052763,0.029274136,0.01622808,-1.5823754
108,0.3397170566037736,8.913492,0.033415854,0.0154492855,-1.5816283,8.910563,0.03337896,0.015476108,-1.5821265
109,0.3428625849056604,9.206038,0.03601125,0.008125663,-1.5864046,9.202817,0.03597507,0.008168727,-1.5868927
110,0.3460081132075472,9.535439,0.0437465,-0.0035906136,-1.5872846,9.533071,0.043718338,-0.00355345,-1.5877703
111,0.34915364150943395,9.823582,0.04710105,-0.017280728,-1.5864112,9.821085,0.047075182,-0.01721844,-1.5869099
112,0.35229916981132076,9.984024,0.04859969,-0.027490914,-1.5815163,9.9822235,0.04858598,-0.027447551,-1.581988
113,0.35544469811320756,10.125562,0.038722783,-0.024226159,-1.5809507,10.1235285,0.03874433,-0.024184763,-1.5814277
114,0.35859022641509436,9.916811,0.022106737,-0.018776804,-1.5839639,9.915029,0.022145927,-0.01873073,-1.5844263
115,0.36173575471698116,9.811016,0.028227478,-0.0059263706,-1.5864923,9.809267,0.028262436,-0.0059070587,-1.5869573
116,0.36488128301886796,9.515311,0.038258553,-0.0028100312,-1.5875077,9.512836,0.038272917,-0.002791971,-1.5879909
117,0.3680268113207547,9.404823,0.040459424,-0.0004917085,-1.5883071,9.402387,0.04048422,-0.00047954917,-1.5887839
118,0.3711723396226415,9.344953,0.03414607,0.0041078925,-1.5882077,9.3427925,0.034152895,0.0041214824,-1.588679
119,0.3743178679245283,9.264859,0.033856273,0.00077679753,-1.587307,9.263406,0.03387335,0.00078082085,-1.5877713
120,0.3774633962264151,9.223234,0.03566912,0.00036415458,-1.5855987,9.2222185,0.035720915,0.00037530065,-1.5860695
121,0.3806089245283019,9.480333,0.045151293,-0.0037721992,-1.5811672,9.480274,0.045156717,-0.0037667453,-1.5816478
122,0.3837544528301887,9.51938,0.04641059,-0.0054340363,-1.5775888,9.519311,0.046411157,-0.0054278374,-1.5780705
123,0.38689998113207547,9.484287,0.04641643,-0.0044187605,-1.5771511,9.484677,0.046408802,-0.0044113398,-1.5776273
